,minimum price for this item in all shops,the shops id that sold this item at minimum price,amount in all months
179,250.0,19,1.0
180,80.0,55,1.0
181,100.0,55,1.0
182,100.0,55,2.0
183,99.0,55,1.0
184,99.0,55,1.0
185,99.0,55,1.0
186,100.0,55,2.0
187,99.0,55,1.0
188,99.0,55,1.0
189,99.0,55,2.0
190,99.0,55,1.0
191,100.0,55,2.0
192,99.0,55,1.0
193,99.0,55,1.0
194,99.0,55,1.0
195,100.0,55,2.0
196,129.0,55,2.0
197,112.0,13,5.0
198,112.0,0,1.0
199,112.0,51,1.0
200,249.0,16,1.0
201,80.0,55,1.0
202,75.0,13,1.0
203,80.0,55,2.0
205,249.0,31,3.0
206,120.0,55,1.0
207,98.0,31,1.0
208,172.0,55,1.0
209,172.0,55,1.0
210,117.0,13,2.0
211,216.0,55,1.0
212,216.0,55,1.0
213,112.0,51,3.0
214,172.0,55,2.0
215,249.0,28,1.0
216,172.0,55,1.0
217,172.0,55,1.0
218,249.0,27,1.0
219,249.0,25,1.0
220,144.0,55,1.0
221,144.0,55,1.0
222,144.0,55,1.0
223,144.0,55,1.0
224,89.0,10,1.0
225,249.0,28,3.0
226,59.0,51,1.0
227,114.0,55,1.0
228,75.0,51,2.0
229,80.0,55,1.0
230,112.0,10,3.0
231,80.0,55,1.0
232,249.0,27,1.0
233,249.0,27,1.0
234,249.0,31,7.0
235,249.0,27,1.0
236,249.0,19,1.0
238,249.0,31,1.0
239,80.0,55,1.0
240,144.0,55,1.0
241,80.0,55,1.0
242,172.0,55,1.0
243,250.0,30,1.0
244,249.0,28,2.0
245,100.0,55,1.0
246,250.0,31,7.0
247,250.0,19,1.0
248,249.0,25,3.0
250,144.0,55,1.0
251,172.0,55,3.0
252,249.0,46,1.0
253,118.0,51,3.0
255,216.0,55,1.0
256,188.0,55,3.0
257,97.0,51,4.0
258,97.0,51,2.0
259,97.0,13,3.0
260,188.0,55,2.0
261,172.0,55,1.0
262,172.0,55,2.0
263,250.0,52,1.0
264,199.0,45,1.0
265,75.0,51,2.0
266,144.0,55,2.0
267,89.0,51,3.0
268,172.0,55,1.0
269,206.0,51,1.0
270,249.0,31,1.0
271,129.0,55,3.0
272,250.0,12,1.0
273,114.0,12,1.0
274,114.0,55,2.0
275,144.0,55,1.0
276,112.0,51,3.0
277,250.0,37,2.0
278,249.0,27,1.0
279,144.0,55,1.0
280,250.0,27,1.0
281,199.2,22,1.0
282,97.0,10,1.0
283,199.0,25,2.0
284,199.0,25,2.0
285,249.0,12,1.0
286,129.0,55,1.0
287,80.0,55,1.0
288,80.0,55,1.0
289,228.0,55,1.0
290,249.0,27,1.0
291,172.0,55,2.0
292,249.0,31,6.0
293,198.8,22,5.0
294,89.0,51,2.0
295,249.0,31,6.0
296,172.0,55,2.0
297,249.0,56,1.0
298,249.0,31,7.0
299,216.0,55,12.0
300,172.0,55,1.0
301,172.0,55,2.0
303,59.0,13,1.0
304,114.0,55,1.0
305,114.0,55,1.0
306,59.0,13,4.0
307,114.0,55,2.0
308,89.0,51,8.0
309,172.0,55,2.0
310,249.0,27,1.0
311,249.0,27,1.0
312,249.0,27,1.0
313,112.0,51,1.0
314,249.0,24,1.0
315,249.0,25,1.0
316,299.0,30,1.0
317,162.0,51,1.0
318,299.0,12,1.0
319,299.0,12,1.0
320,162.0,51,4.0
321,162.0,10,1.0
322,299.0,31,3.0
323,129.0,55,3.0
324,249.0,31,3.0
325,75.0,51,5.0
326,300.0,27,1.0
327,129.0,55,1.0
328,249.0,27,1.0
329,112.0,51,2.0
330,216.0,55,4.0
331,249.0,12,1.0
332,80.0,55,1.0
333,249.0,27,1.0
334,144.0,55,5.0
335,249.0,22,1.0
336,144.0,55,3.0
337,144.0,55,1.0
338,144.0,55,3.0
339,144.0,55,3.0
340,144.0,55,1.0
341,144.0,55,2.0
342,144.0,55,1.0
343,216.0,55,3.0
344,216.0,55,3.0
345,144.0,55,2.0
346,144.0,55,2.0
347,144.0,55,2.0
348,144.0,55,1.0
349,80.0,55,1.0
350,80.0,55,1.0
351,89.0,13,2.0
352,120.0,55,1.0
353,249.0,12,1.0
354,258.0,13,3.0
355,172.0,55,1.0
356,249.0,25,6.0
357,199.2,6,1.0
358,144.0,55,1.0
359,144.0,55,1.0
360,144.0,55,1.0
361,144.0,55,1.0
362,172.0,55,1.0
363,249.0,46,1.0
364,149.0,55,1.0
365,250.0,27,1.0
366,249.0,31,2.0
367,249.0,46,1.0
368,249.0,46,1.0
369,249.0,27,1.0
370,250.0,27,1.0
371,89.0,51,3.0
372,249.0,22,2.0
373,75.0,10,1.0
374,172.0,55,1.0
375,249.0,25,2.0
376,249.0,46,1.0
377,249.0,12,1.0
378,249.0,21,1.0
379,144.0,55,1.0
380,249.0,46,1.0
381,114.0,55,2.0
382,249.0,27,1.0
383,216.0,55,1.0
384,97.0,10,1.0
385,97.0,10,1.0
386,250.0,31,1.0
387,89.0,13,1.0
388,97.0,51,1.0
389,97.0,13,1.0
390,249.0,12,2.0
391,249.0,27,1.0
392,112.0,51,2.0
393,249.0,22,1.0
394,172.0,55,3.0
395,172.0,55,2.0
396,216.0,55,1.0
397,249.0,12,1.0
398,349.0,12,1.0
399,349.0,12,1.0
400,172.0,55,1.0
401,249.0,27,1.0
403,114.0,55,2.0
404,114.0,55,1.0
405,249.0,31,5.0
406,250.0,56,1.0
407,97.0,51,3.0
408,89.0,51,3.0
409,249.0,42,1.0
410,89.0,51,12.0
411,249.0,27,1.0
412,240.0,55,1.0
413,89.0,13,3.0
414,249.0,31,5.0
415,144.0,55,1.0
416,144.0,55,1.0
417,299.0,27,1.0
418,249.0,27,1.0
419,249.0,12,1.0
420,144.0,55,1.0
421,162.0,0,1.0
422,314.0,55,1.0
423,199.0,28,2.0
424,249.0,25,1.0
425,249.0,27,1.0
426,249.0,27,1.0
427,249.0,27,1.0
429,238.6,22,2.0
431,249.0,27,1.0
432,299.0,12,1.0
433,249.0,12,1.0
434,172.0,55,1.0
435,162.0,13,1.0
436,299.0,31,1.0
437,314.0,55,1.0
438,162.0,0,1.0
439,89.0,10,1.0
440,199.2,22,1.0
441,249.0,27,1.0
442,199.0,12,1.0
443,249.0,22,1.0
444,249.0,19,1.0
445,249.0,25,1.0
446,172.0,55,1.0
447,172.0,55,1.0
448,117.0,10,1.0
449,299.0,27,1.0
450,299.0,22,1.0
451,75.0,10,1.0
452,172.0,55,1.0
453,249.0,24,2.0
455,172.0,55,2.0
456,349.0,24,1.0
457,299.0,46,1.0
458,249.0,27,1.0
459,249.0,27,1.0
460,249.0,31,4.0
461,249.0,31,1.0
462,249.0,6,1.0
463,314.0,55,1.0
464,155.0,10,3.0
465,179.0,12,1.0
466,179.0,12,1.0
467,179.0,38,1.0
468,28.0,22,1.0
469,28.0,22,1.0
470,690.0,55,12.0
471,227.0,0,1.0
472,227.0,10,3.0
473,258.0,10,1.0
474,500.0,22,23.0
475,25500.0,12,13.0
476,25500.0,12,3.0
477,12600.0,12,13.0
478,10640.0,12,24.0
479,140.0,0,1.0
481,196.0,10,1.0
482,1212.85,10,24.0
483,8500.0,12,5.0
484,124.0,1,10.0
485,120.0,12,191.0
486,108.9,11,2.0
487,229.0,22,1.0
488,188.0,55,10.0
489,229.0,22,1.0
490,188.0,55,12.0
491,330.86,10,7.0
492,300.0,55,2221.0
493,250.0,55,116.0
494,323.0,22,70.0
495,6000.0,55,2.0
496,1896.0,0,1.0
497,150.0,55,53.0
498,124.0,0,1.0
499,28.0,22,1.0
500,28.0,22,1.0
501,100.0,55,1.0
502,75.0,55,58.0
503,30.0,55,52.0
504,30.0,55,49.0
505,99.0,55,20.0
506,30.0,55,26.0
507,125.0,55,3.0
508,95.0,55,58.0
509,100.0,55,1.0
510,58.0,22,1.0
511,100.0,55,1.0
512,100.0,55,2.0
513,100.0,55,1.0
514,100.0,55,3.0
515,74.0,55,90.0
516,149.0,55,10.0
517,100.0,55,2.0
518,99.0,55,4.0
519,100.0,55,2.0
520,175.0,55,10.0
521,149.0,55,22.0
522,149.0,55,8.0
523,188.0,55,2.0
524,188.0,55,5.0
525,980.0,55,14.0
526,650.0,55,2.0
527,980.0,49,1.0
528,980.0,55,11.0
529,28.0,37,1.0
530,99.0,12,1.0
531,58.0,22,1.0
532,249.0,46,1.0
533,249.0,12,2.0
534,210.0,10,5.0
535,1700.0,22,20.0
536,1700.0,55,32.0
537,188.0,55,3.0
538,14500.0,55,1.0
539,172.0,55,17.0
540,172.0,55,6.0
541,90.0,10,1.0
542,148.0,22,1.0
543,249.0,12,1.0
544,126.0,51,1.0
545,126.0,0,1.0
546,126.0,51,1.0
547,249.0,12,1.0
548,199.0,22,4.0
549,199.0,12,2.0
550,28.0,22,1.0
551,199.0,22,2.0
552,28.0,23,1.0
553,119.0,6,3.0
554,99.0,51,2.0
555,99.0,51,1.0
556,90.0,0,13.0
557,149.0,6,2.0
558,99.0,51,2.0
559,149.0,12,3.0
560,99.0,51,5.0
561,199.0,29,1.0
562,149.0,46,1.0
563,172.0,55,36.0
564,172.0,55,23.0
565,91.0,1,2.0
567,188.0,55,5.0
568,172.0,55,3.0
569,172.0,55,1.0
570,149.0,3,1.0
571,149.0,22,1.0
572,172.0,55,10.0
573,199.0,14,1.0
574,172.0,55,17.0
575,172.0,55,11.0
576,172.0,55,16.0
577,172.0,55,14.0
578,172.0,55,8.0
579,172.0,55,1.0
580,149.0,56,1.0
581,172.0,55,14.0
582,91.0,0,1.0
583,172.0,55,13.0
584,149.0,42,1.0
585,172.0,55,17.0
586,189.0,42,1.0
587,172.0,55,22.0
588,189.0,42,1.0
589,172.0,55,18.0
590,199.0,42,1.0
591,149.0,15,2.0
592,136.0,55,18.0
593,199.0,12,1.0
594,199.0,12,1.0
595,189.0,12,1.0
596,149.0,3,1.0
597,199.0,31,1.0
598,172.0,55,1.0
599,199.0,31,1.0
600,172.0,55,5.0
601,199.0,31,1.0
602,172.0,55,14.0
603,115.0,12,1.0
604,58.0,22,1.0
605,28.0,22,1.0
606,272.0,31,1.0
607,28.0,24,1.0
608,28.0,23,1.0
609,199.0,25,1.0
610,158.8,38,1.0
611,172.0,55,12.0
612,172.0,55,10.0
613,188.0,12,1.0
614,188.0,12,1.0
615,189.0,19,1.0
616,172.0,55,7.0
617,97.0,51,1.0
618,172.0,55,19.0
619,172.0,55,10.0
620,172.0,55,5.0
621,119.2,22,4.0
622,172.0,55,9.0
623,172.0,55,8.0
624,172.0,55,9.0
625,149.0,6,1.0
626,119.0,22,6.0
627,172.0,55,18.0
628,149.0,46,1.0
629,172.0,55,11.0
630,172.0,55,5.0
631,149.0,46,1.0
632,172.0,55,13.0
633,172.0,55,10.0
634,188.0,12,1.0
635,189.0,19,1.0
636,189.0,12,1.0
637,199.0,15,1.0
638,279.0,22,20.0
641,172.0,55,4.0
642,90.0,0,10.0
643,172.0,55,8.0
644,172.0,55,11.0
645,199.0,12,1.0
646,188.0,4,1.0
647,188.0,42,1.0
648,149.0,15,1.0
649,172.0,55,7.0
650,172.0,55,12.0
651,90.0,0,14.0
652,172.0,55,25.0
653,188.0,55,8.0
654,149.0,15,1.0
655,172.0,55,4.0
656,172.0,55,13.0
657,90.0,51,9.0
658,172.0,55,73.0
659,149.0,15,1.0
660,149.0,46,2.0
661,172.0,55,2.0
662,189.0,14,1.0
663,172.0,55,3.0
664,172.0,55,3.0
665,149.0,46,1.0
666,172.0,55,7.0
667,172.0,55,5.0
668,91.0,0,1.0
669,172.0,55,3.0
670,188.0,55,3.0
671,172.0,55,7.0
672,172.0,55,3.0
673,172.0,55,4.0
674,149.0,57,1.0
675,172.0,55,10.0
676,172.0,55,4.0
677,90.0,0,10.0
678,172.0,55,2.0
679,172.0,55,2.0
680,172.0,55,7.0
681,172.0,55,1.0
682,172.0,55,5.0
683,199.0,46,2.0
684,172.0,55,2.0
685,199.0,12,1.0
686,1200.0,22,16.0
687,221.17,10,9.0
688,272.0,55,117.0
689,136.0,55,3.0
690,199.0,22,5.0
691,188.0,55,2.0
692,188.0,55,1.0
693,188.0,55,3.0
694,188.0,55,2.0
695,159.2,22,9.0
696,189.0,12,1.0
697,149.0,15,1.0
698,272.0,55,22.0
699,143.0,0,2.0
700,143.0,0,22.0
701,145.0,12,3.0
702,199.0,12,1.0
703,199.0,12,1.0
704,188.0,55,1.0
705,219.0,42,1.0
706,149.0,46,1.0
707,136.0,55,8.0
708,199.0,3,1.0
709,188.0,55,1.0
710,189.0,12,1.0
711,188.0,55,2.0
712,179.0,46,1.0
713,172.0,55,4.0
714,188.0,55,1.0
715,91.0,0,4.0
716,91.0,51,9.0
717,149.0,22,6.0
718,172.0,55,47.0
719,219.0,22,2.0
720,189.0,42,1.0
721,188.0,55,1.0
722,188.0,55,2.0
723,188.0,55,2.0
724,188.0,55,3.0
725,188.0,55,1.0
726,188.0,55,4.0
727,188.0,55,4.0
728,188.0,55,2.0
729,229.0,12,1.0
730,229.0,12,1.0
731,188.0,55,6.0
732,229.0,12,1.0
733,188.0,55,3.0
734,216.0,12,1.0
735,188.0,55,4.0
736,229.0,12,1.0
737,229.0,12,1.0
738,216.0,12,1.0
739,229.0,12,1.0
740,229.0,12,2.0
741,216.0,12,1.0
742,216.0,55,3.0
743,188.0,55,1.0
744,229.0,12,1.0
745,188.0,55,3.0
746,229.0,12,1.0
747,229.0,12,1.0
748,188.0,55,5.0
749,216.0,12,1.0
750,229.0,12,1.0
751,188.0,55,4.0
752,188.0,55,7.0
753,188.0,55,2.0
754,172.0,55,1.0
755,188.0,55,9.0
756,188.0,55,30.0
757,188.0,55,4.0
758,159.2,22,5.0
759,199.0,46,1.0
760,188.0,55,1.0
761,199.0,54,1.0
763,188.0,55,1.0
764,188.0,55,2.0
765,136.0,55,2.0
766,188.0,55,3.0
767,136.0,55,1.0
768,136.0,55,4.0
769,188.0,55,3.0
770,172.0,55,6.0
771,149.0,15,1.0
772,172.0,55,3.0
773,172.0,55,6.0
774,188.0,55,2.0
775,188.0,55,7.0
776,172.0,55,3.0
777,199.0,12,1.0
778,188.0,55,2.0
779,188.0,55,2.0
780,136.0,55,6.0
781,136.0,55,5.0
782,188.0,55,1.0
783,71.0,0,1.0
784,192.0,22,142.0
785,155.0,10,4.0
786,165.0,10,7.0
787,227.0,10,1.0
788,299.0,12,3.0
789,6480.0,12,1.0
790,192.0,22,71.0
791,248.0,10,8.0
792,405.0,10,5.0
793,3300.0,12,4.0
794,3000.0,27,1.0
795,1360.0,51,2.0
796,8500.0,45,1.0
797,250.0,55,211.0
798,150.0,55,245.0
799,25.0,55,70.0
800,150.0,55,57.0
801,150.0,55,39.0
802,134.0,51,1.0
803,25.0,55,256.0
804,145.0,10,4.0
805,95.0,55,699.0
806,142.06,10,6.0
807,66.0,1,1.0
808,159.0,22,1.0
809,188.0,55,17.0
810,120.0,0,8.0
811,159.2,22,6.0
812,99.0,35,1.0
813,199.0,22,1.0
814,120.0,0,3.0
815,100.0,55,3.0
816,72.0,1,6.0
817,79.0,22,1.0
818,98.0,22,2.0
819,149.0,41,2.0
820,99.0,22,1.0
821,136.0,55,8.0
822,79.2,22,2.0
823,158.8,22,4.0
824,249.0,6,1.0
825,195.0,0,2.0
826,299.0,22,2.0
827,370.0,55,11.0
828,149.0,15,1.0
829,1263.03,10,9.0
830,2250.0,12,2.0
831,1896.0,0,1.0
832,145.0,12,50.0
833,150.0,55,183.0
834,240.0,12,2.0
835,1896.0,51,4.0
836,9800.0,12,4.0
837,3680.0,19,1.0
838,25.0,55,139.0
839,1219.1,10,9.0
840,690.0,4,1.0
841,690.0,55,3.0
842,5000.0,55,14.0
843,132.0,55,11.0
844,188.0,55,9.0
845,188.0,55,2.0
846,132.0,55,5.0
847,188.0,55,15.0
848,132.0,55,9.0
849,132.0,55,31.0
850,216.0,31,1.0
851,188.0,55,10.0
852,216.0,55,5.0
853,132.0,55,14.0
854,28.0,21,1.0
855,216.0,21,1.0
856,216.0,55,6.0
857,216.0,21,1.0
858,151.0,55,7.0
859,132.0,55,11.0
860,216.0,21,1.0
861,28.0,22,1.0
862,132.0,55,19.0
863,216.0,55,1.0
864,132.0,55,14.0
865,188.0,55,4.0
866,249.0,12,1.0
867,160.0,55,33.0
868,160.0,55,48.0
869,160.0,55,31.0
870,249.0,42,1.0
871,132.0,55,21.0
872,219.0,12,2.0
873,229.0,12,1.0
874,160.0,55,13.0
875,229.0,12,2.0
876,188.0,55,1.0
877,132.0,55,22.0
878,216.0,12,1.0
879,188.0,55,9.0
880,188.0,55,3.0
881,216.0,12,1.0
882,188.0,55,10.0
883,216.0,12,2.0
884,219.0,12,1.0
885,188.0,55,19.0
886,249.0,12,1.0
887,149.0,53,2.0
888,179.0,37,2.0
889,132.0,55,18.0
890,132.0,55,25.0
891,132.0,55,21.0
893,28.0,22,1.0
894,132.0,55,15.0
895,320.0,12,1.0
896,132.0,55,19.0
897,132.0,55,21.0
898,219.0,12,1.0
899,188.0,55,10.0
901,249.0,42,1.0
902,199.0,22,5.0
903,188.0,55,17.0
904,188.0,55,19.0
905,46.0,22,3.0
906,188.0,55,9.0
908,132.0,55,16.0
909,151.0,55,3.0
910,132.0,55,7.0
911,132.0,55,15.0
912,132.0,55,23.0
913,132.0,55,9.0
914,132.0,55,7.0
915,188.0,55,12.0
916,132.0,55,39.0
917,132.0,55,38.0
918,160.0,55,23.0
919,228.0,57,1.0
920,28.0,22,1.0
921,160.0,55,21.0
922,228.0,57,1.0
923,219.0,12,1.0
924,188.0,55,10.0
925,216.0,55,1.0
926,6000.0,55,2.0
927,3300.0,55,8.0
928,7000.0,55,1.0
929,2200.0,22,1.0
930,800.0,25,1.0
931,216.0,55,1.0
932,216.0,55,1.0
933,75.0,13,1.0
934,63.0,51,7.0
935,58.04,13,5.0
936,149.0,57,9.0
937,198.0,15,2.0
938,399.0,19,1.0
939,399.0,19,1.0
940,399.0,19,1.0
941,28.0,54,3.0
942,27.0,51,1.0
943,127.0,55,5.0
944,95.0,51,5.0
945,70.0,1,2.0
946,28.0,27,1.0
947,37.0,0,4.0
948,299.0,28,24.0
949,299.0,57,31.0
950,299.0,31,35.0
951,299.0,27,17.0
952,99.0,25,9.0
953,58.0,35,2.0
954,231.0,51,1.0
955,399.0,29,1.0
956,108.49,57,2.0
957,98.0,27,6.0
958,198.0,53,3.0
959,69.0,51,1.0
960,270.0,51,4.0
961,199.0,31,14.0
962,77.65,51,3.0
963,28.0,22,5.0
964,69.0,51,2.0
965,190.0,51,4.0
966,27.0,13,1.0
967,205.0,13,1.0
968,55.0,51,11.0
969,198.0,57,13.0
970,161.0,10,3.0
971,161.0,51,7.0
972,190.0,10,14.0
973,1049.0,25,4.0
974,719.0,25,5.0
975,190.0,10,3.0
976,1499.0,54,5.0
977,76.0,51,4.0
978,238.8,53,3.0
979,549.0,6,6.0
980,1021.34,51,4.0
981,657.0,13,2.0
982,219.0,10,1.0
983,80.0,51,3.0
984,191.49,13,4.0
985,70.0,51,1.0
986,249.0,31,1.0
987,77.0,51,17.0
988,135.0,10,1.0
989,58.0,54,24.0
990,58.0,54,19.0
991,58.0,25,29.0
992,58.0,25,29.0
993,54.8,49,1.0
994,28.0,25,11.0
995,28.0,25,16.0
996,28.0,25,19.0
997,28.0,25,9.0
998,58.0,1,7.0
999,55.2,49,1.0
1000,28.0,57,7.0
1001,54.8,49,1.0
1002,58.0,25,22.0
1003,58.0,10,5.0
1004,55.2,49,1.0
1005,58.0,54,34.0
1006,235.0,13,4.0
1007,235.0,51,12.0
1008,176.0,10,1.0
1009,239.2,16,2.0
1010,176.0,13,9.0
1011,176.0,10,1.0
1012,88.0,10,2.0
1013,176.0,0,2.0
1014,170.0,12,1.0
1015,143.56,13,19.0
1016,176.0,13,9.0
1017,176.0,10,5.0
1018,148.0,57,25.0
1019,170.0,12,3.0
1020,148.0,39,1.0
1021,173.5,13,2.0
1022,176.0,0,2.0
1023,148.0,41,3.0
1024,298.0,25,12.0
1025,248.0,25,36.0
1026,148.0,57,34.0
1027,28.0,38,5.0
1028,148.0,57,29.0
1029,176.0,0,1.0
1030,176.0,10,4.0
1031,22.0,50,2.0
1032,176.0,0,1.0
1033,173.52,51,3.0
1034,58.0,38,3.0
1035,176.0,13,16.0
1036,27.0,51,3.0
1037,2344.0,51,4.0
1038,999.0,25,2.0
1039,899.0,25,9.0
1040,999.0,25,2.0
1041,899.0,25,9.0
1042,698.0,25,4.0
1043,698.0,25,2.0
1044,999.0,15,3.0
1045,199.0,25,10.0
1046,799.43,57,5.0
1047,398.0,31,4.0
1048,315.0,13,2.0
1049,398.0,31,2.0
1050,98.0,31,3.0
1051,248.0,31,3.0
1052,398.0,25,7.0
1053,398.0,54,8.0
1054,359.0,22,2.0
1055,131.0,13,1.0
1056,189.0,54,9.0
1057,449.0,54,6.0
1058,148.0,42,7.0
1059,398.0,25,8.0
1060,398.0,31,9.0
1061,568.95,35,5.0
1062,382.0,51,1.0
1063,382.0,13,3.0
1064,28.0,52,1.0
1065,95.0,0,4.0
1066,148.0,56,1.0
1067,248.0,22,6.0
1068,299.0,16,1.0
1069,148.0,51,1.0
1070,98.0,57,2.0
1071,108.49,6,1.0
1072,28.0,54,4.0
1073,270.0,13,5.0
1074,999.0,28,4.0
1075,87.82,11,1.0
1076,419.33,48,2.0
1077,265.13,13,4.0
1078,48.0,25,6.0
1079,1022.0,0,2.0
1080,1649.0,6,1.0
1081,1979.0,25,9.0
1082,1227.0,10,2.0
1083,1979.0,25,4.0
1084,1979.0,28,1.0
1085,1227.0,0,1.0
1086,28.0,54,1.0
1087,190.0,13,1.0
1088,28.0,54,1.0
1089,121.0,51,4.0
1090,365.0,10,2.0
1091,28.0,31,3.0
1092,58.0,28,3.0
1093,28.0,16,1.0
1094,237.0,10,1.0
1095,70.0,51,2.0
1096,58.0,54,1.0
1097,58.0,31,7.0
1098,67.0,13,1.0
1099,149.0,31,31.0
1100,62.0,55,52.0
1101,117.97,51,9.0
1102,117.17,51,16.0
1103,127.0,0,1.0
1104,69.64,13,3.0
1105,58.0,54,10.0
1106,58.0,30,1.0
1107,149.0,25,2.0
1108,229.6,10,1.0
1109,14.0,31,6.0
1110,49.0,21,2.0
1111,28.0,54,2.0
1112,190.0,51,1.0
1113,77.0,51,3.0
1114,190.0,0,3.0
1115,28.0,28,1.0
1116,164.94,13,4.0
1117,127.0,55,2.0
1118,28.0,39,1.0
1119,273.0,0,1.0
1120,949.0,18,2.0
1121,220.0,10,3.0
1122,190.0,0,1.0
1123,349.0,31,5.0
1124,225.0,0,2.0
1125,299.0,31,3.0
1126,180.0,1,2.0
1127,248.0,54,2.0
1128,696.0,12,1.0
1129,849.0,25,1.0
1130,899.0,25,2.0
1131,282.0,51,10.0
1132,180.0,1,3.0
1133,1599.0,25,14.0
1134,1189.0,25,2.0
1135,347.41,42,2.0
1136,349.0,16,1.0
1137,179.0,51,1.0
1138,599.0,25,2.0
1139,198.0,25,1.0
1140,298.0,31,2.0
1141,299.0,54,1.0
1142,699.5,26,5.0
1143,250.0,0,1.0
1144,242.0,13,1.0
1145,9499.0,25,3.0
1146,229.0,54,1.0
1147,899.0,18,1.0
1148,899.0,57,1.0
1149,1590.0,55,11.0
1150,1590.0,55,1.0
1151,1199.0,10,3.0
1152,4290.0,55,2.0
1153,3207.0,10,1.0
1154,1990.0,55,1.0
1155,4990.0,24,27.0
1156,1990.0,55,6.0
1157,4490.0,55,7.0
1158,3330.0,15,1.0
1159,3290.0,55,1.0
1160,1600.0,55,4.0
1161,990.0,23,1.0
1162,755.0,55,81.0
