,maximum price for this item in all shops,the shops id that sold this item at maximum price,amount in all months
179,250.0,19,1.0
180,80.0,55,1.0
181,100.0,55,1.0
182,100.0,55,2.0
183,99.0,55,1.0
184,99.0,55,1.0
185,99.0,55,1.0
186,100.0,55,2.0
187,99.0,55,1.0
188,99.0,55,1.0
189,99.0,55,2.0
190,99.0,55,1.0
191,100.0,55,2.0
192,99.0,55,1.0
193,99.0,55,1.0
194,99.0,55,1.0
195,100.0,55,2.0
196,129.0,55,2.0
197,249.0,54,10.0
198,250.0,54,1.0
199,250.0,54,14.0
200,249.0,16,1.0
201,80.0,55,1.0
202,249.0,28,21.0
203,80.0,55,2.0
205,249.0,31,3.0
206,120.0,55,1.0
207,98.0,31,1.0
208,172.0,55,1.0
209,172.0,55,1.0
210,249.0,31,13.0
211,216.0,55,1.0
212,216.0,55,1.0
213,250.0,31,63.0
214,172.0,55,2.0
215,249.0,28,1.0
216,172.0,55,1.0
217,172.0,55,1.0
218,249.0,27,1.0
219,249.0,25,1.0
220,144.0,55,1.0
221,144.0,55,1.0
222,144.0,55,1.0
223,144.0,55,1.0
224,249.0,54,1.0
225,249.0,28,3.0
226,249.0,31,24.0
227,114.0,55,1.0
228,249.0,31,23.0
229,80.0,55,1.0
230,250.0,31,11.0
231,80.0,55,1.0
232,249.0,27,1.0
233,249.0,27,1.0
234,249.0,31,7.0
235,249.0,27,1.0
236,249.0,19,1.0
238,249.0,31,1.0
239,80.0,55,1.0
240,144.0,55,1.0
241,80.0,55,1.0
242,172.0,55,1.0
243,250.0,30,1.0
244,249.0,28,2.0
245,100.0,55,1.0
246,250.0,31,7.0
247,250.0,19,1.0
248,249.0,25,3.0
250,144.0,55,1.0
251,172.0,55,3.0
252,249.0,46,1.0
253,249.0,31,24.0
255,216.0,55,1.0
256,188.0,55,3.0
257,249.0,28,22.0
258,249.0,31,35.0
259,249.0,31,37.0
260,188.0,55,2.0
261,172.0,55,1.0
262,172.0,55,2.0
263,250.0,52,1.0
264,199.0,45,1.0
265,249.0,31,3.0
266,144.0,55,2.0
267,249.0,28,5.0
268,172.0,55,1.0
269,349.0,28,7.0
270,249.0,31,1.0
271,129.0,55,3.0
272,250.0,12,1.0
273,249.0,21,1.0
274,114.0,55,2.0
275,144.0,55,1.0
276,249.0,31,20.0
277,250.0,37,2.0
278,249.0,27,1.0
279,144.0,55,1.0
280,250.0,27,1.0
281,249.0,12,1.0
282,249.0,31,14.0
283,249.0,25,2.0
284,249.0,25,2.0
285,249.0,12,1.0
286,129.0,55,1.0
287,80.0,55,1.0
288,80.0,55,1.0
289,228.0,55,1.0
290,249.0,27,1.0
291,172.0,55,2.0
292,249.0,31,6.0
293,249.0,31,19.0
294,249.0,31,9.0
295,249.0,31,6.0
296,172.0,55,2.0
297,249.0,56,1.0
298,249.0,31,7.0
299,216.0,55,12.0
300,172.0,55,1.0
301,172.0,55,2.0
303,59.0,13,1.0
304,114.0,55,1.0
305,114.0,55,1.0
306,249.0,22,8.0
307,114.0,55,2.0
308,249.0,31,58.0
309,172.0,55,2.0
310,249.0,27,1.0
311,249.0,27,1.0
312,249.0,27,1.0
313,249.0,31,12.0
314,249.0,24,1.0
315,249.0,25,1.0
316,299.0,30,1.0
317,299.0,54,4.0
318,299.0,12,1.0
319,299.0,12,1.0
320,299.0,54,12.0
321,299.0,25,3.0
322,299.0,31,3.0
323,129.0,55,3.0
324,249.0,31,3.0
325,249.0,31,30.0
326,300.0,27,1.0
327,129.0,55,1.0
328,249.0,27,1.0
329,250.0,16,2.0
330,216.0,55,4.0
331,249.0,12,1.0
332,80.0,55,1.0
333,249.0,27,1.0
334,144.0,55,5.0
335,249.0,22,1.0
336,144.0,55,3.0
337,144.0,55,1.0
338,144.0,55,3.0
339,144.0,55,3.0
340,144.0,55,1.0
341,144.0,55,2.0
342,144.0,55,1.0
343,216.0,55,3.0
344,216.0,55,3.0
345,144.0,55,2.0
346,144.0,55,2.0
347,144.0,55,2.0
348,144.0,55,1.0
349,80.0,55,1.0
350,80.0,55,1.0
351,250.0,54,2.0
352,120.0,55,1.0
353,249.0,12,1.0
354,399.0,22,3.0
355,172.0,55,1.0
356,249.0,25,6.0
357,249.0,31,13.0
358,144.0,55,1.0
359,144.0,55,1.0
360,144.0,55,1.0
361,144.0,55,1.0
362,172.0,55,1.0
363,249.0,46,1.0
364,149.0,55,1.0
365,250.0,27,1.0
366,249.0,31,2.0
367,249.0,46,1.0
368,249.0,46,1.0
369,249.0,27,1.0
370,250.0,27,1.0
371,199.0,54,3.0
372,249.0,22,2.0
373,250.0,31,22.0
374,172.0,55,1.0
375,249.0,25,2.0
376,249.0,46,1.0
377,249.0,12,1.0
378,249.0,21,1.0
379,144.0,55,1.0
380,249.0,46,1.0
381,114.0,55,2.0
382,249.0,27,1.0
383,216.0,55,1.0
384,250.0,28,13.0
385,250.0,31,26.0
386,250.0,31,1.0
387,249.0,31,5.0
388,249.0,31,25.0
389,249.0,25,4.0
390,249.0,12,2.0
391,249.0,27,1.0
392,249.0,54,9.0
393,249.0,22,1.0
394,172.0,55,3.0
395,172.0,55,2.0
396,216.0,55,1.0
397,249.0,12,1.0
398,349.0,12,1.0
399,349.0,12,1.0
400,172.0,55,1.0
401,249.0,27,1.0
403,114.0,55,2.0
404,114.0,55,1.0
405,249.0,31,5.0
406,250.0,56,1.0
407,249.0,31,18.0
408,250.0,31,25.0
409,249.0,42,1.0
410,250.0,31,24.0
411,249.0,27,1.0
412,240.0,55,1.0
413,249.0,54,16.0
414,249.0,31,5.0
415,144.0,55,1.0
416,144.0,55,1.0
417,299.0,27,1.0
418,249.0,27,1.0
419,249.0,12,1.0
420,144.0,55,1.0
421,299.0,31,16.0
422,314.0,55,1.0
423,199.0,28,2.0
424,249.0,25,1.0
425,249.0,27,1.0
426,249.0,27,1.0
427,249.0,27,1.0
429,299.0,22,2.0
431,249.0,27,1.0
432,299.0,12,1.0
433,249.0,12,1.0
434,172.0,55,1.0
435,250.0,21,3.0
436,299.0,31,1.0
437,314.0,55,1.0
438,299.0,31,4.0
439,250.0,31,4.0
440,199.2,22,1.0
441,249.0,27,1.0
442,199.0,12,1.0
443,249.0,22,1.0
444,249.0,19,1.0
445,249.0,25,1.0
446,172.0,55,1.0
447,172.0,55,1.0
448,249.0,31,40.0
449,299.0,27,1.0
450,299.0,22,1.0
451,249.0,28,3.0
452,172.0,55,1.0
453,249.0,24,2.0
455,172.0,55,2.0
456,349.0,24,1.0
457,299.0,46,1.0
458,249.0,27,1.0
459,249.0,27,1.0
460,249.0,31,4.0
461,249.0,31,1.0
462,249.0,6,1.0
463,314.0,55,1.0
464,299.0,22,342.0
465,179.0,12,1.0
466,179.0,12,1.0
467,179.0,38,1.0
468,28.0,22,1.0
469,28.0,22,1.0
470,690.0,55,12.0
471,399.0,22,56.0
472,399.0,22,252.0
473,449.0,24,5.0
474,500.0,22,23.0
475,35300.0,12,13.0
476,30600.0,12,3.0
477,18500.0,22,19.0
478,15200.0,22,26.0
479,299.0,22,20.0
481,330.0,22,35.0
482,3300.0,22,586.0
483,8500.0,12,5.0
484,300.0,22,117.0
485,300.0,22,453.0
486,300.0,22,332.0
487,229.0,22,1.0
488,188.0,55,10.0
489,229.0,22,1.0
490,188.0,55,12.0
491,600.0,22,130.0
492,600.0,55,2221.0
493,250.0,55,116.0
494,380.0,22,70.0
495,6000.0,55,2.0
496,4600.0,22,92.0
497,150.0,55,53.0
498,249.0,12,15.0
499,28.0,22,1.0
500,28.0,22,1.0
501,100.0,55,1.0
502,99.0,55,58.0
503,225.0,55,52.0
504,175.0,55,49.0
505,175.0,55,20.0
506,175.0,55,26.0
507,125.0,55,3.0
508,99.0,55,58.0
509,100.0,55,1.0
510,58.0,22,1.0
511,100.0,55,1.0
512,100.0,55,2.0
513,100.0,55,1.0
514,100.0,55,3.0
515,149.0,55,90.0
516,199.0,55,10.0
517,100.0,55,2.0
518,100.0,55,4.0
519,100.0,55,2.0
520,175.0,55,10.0
521,175.0,55,22.0
522,149.0,55,8.0
523,188.0,55,2.0
524,188.0,55,5.0
525,980.0,55,14.0
526,650.0,55,2.0
527,980.0,49,1.0
528,980.0,55,11.0
529,126.0,53,1.0
530,99.0,12,1.0
531,58.0,22,1.0
532,249.0,46,1.0
533,249.0,12,2.0
534,799.0,22,70.0
535,1700.0,22,20.0
536,1700.0,55,32.0
537,188.0,55,3.0
538,14500.0,55,1.0
539,172.0,55,17.0
540,172.0,55,6.0
541,199.0,22,2.0
542,199.0,26,1.0
543,249.0,12,1.0
544,249.0,57,10.0
545,249.0,57,6.0
546,249.0,12,6.0
547,249.0,12,1.0
548,199.0,22,4.0
549,199.0,12,2.0
550,28.0,22,1.0
551,199.0,22,2.0
552,179.0,42,1.0
553,149.0,22,6.0
554,149.0,22,9.0
555,149.0,57,4.0
556,199.0,22,35.0
557,189.0,42,1.0
558,149.0,57,9.0
559,149.0,12,3.0
560,199.0,57,28.0
561,199.0,29,1.0
562,149.0,46,1.0
563,172.0,55,36.0
564,172.0,55,23.0
565,199.0,57,9.0
567,188.0,55,5.0
568,172.0,55,3.0
569,172.0,55,1.0
570,149.0,3,1.0
571,199.0,14,1.0
572,172.0,55,10.0
573,199.0,14,1.0
574,172.0,55,17.0
575,172.0,55,11.0
576,172.0,55,16.0
577,172.0,55,14.0
578,172.0,55,8.0
579,172.0,55,1.0
580,149.0,56,1.0
581,172.0,55,14.0
582,91.0,0,1.0
583,172.0,55,13.0
584,149.0,42,1.0
585,172.0,55,17.0
586,189.0,42,1.0
587,172.0,55,22.0
588,189.0,42,1.0
589,172.0,55,18.0
590,199.0,42,1.0
591,149.0,15,2.0
592,136.0,55,18.0
593,199.0,12,1.0
594,199.0,12,1.0
595,189.0,12,1.0
596,149.0,3,1.0
597,199.0,31,1.0
598,172.0,55,1.0
599,199.0,31,1.0
600,172.0,55,5.0
601,199.0,31,1.0
602,172.0,55,14.0
603,115.0,12,1.0
604,58.0,22,1.0
605,28.0,22,1.0
606,272.0,31,1.0
607,28.0,24,1.0
608,28.0,23,1.0
609,199.0,25,1.0
610,199.0,12,1.0
611,172.0,55,12.0
612,172.0,55,10.0
613,188.0,12,1.0
614,188.0,12,1.0
615,189.0,19,1.0
616,172.0,55,7.0
617,199.0,12,1.0
618,172.0,55,19.0
619,172.0,55,10.0
620,172.0,55,5.0
621,149.0,22,4.0
622,172.0,55,9.0
623,172.0,55,8.0
624,172.0,55,9.0
625,149.0,6,1.0
626,199.0,12,1.0
627,172.0,55,18.0
628,149.0,46,1.0
629,172.0,55,11.0
630,172.0,55,5.0
631,149.0,46,1.0
632,172.0,55,13.0
633,172.0,55,10.0
634,188.0,12,1.0
635,189.0,19,1.0
636,189.0,12,1.0
637,199.0,15,1.0
638,379.0,25,8.0
641,172.0,55,4.0
642,149.0,57,31.0
643,172.0,55,8.0
644,172.0,55,11.0
645,199.0,12,1.0
646,188.0,4,1.0
647,188.0,42,1.0
648,149.0,15,1.0
649,172.0,55,7.0
650,172.0,55,12.0
651,149.0,22,32.0
652,172.0,55,25.0
653,188.0,55,8.0
654,149.0,15,1.0
655,172.0,55,4.0
656,172.0,55,13.0
657,199.0,42,1.0
658,172.0,55,73.0
659,199.0,46,1.0
660,199.0,46,2.0
661,172.0,55,2.0
662,189.0,14,1.0
663,172.0,55,3.0
664,172.0,55,3.0
665,149.0,46,1.0
666,172.0,55,7.0
667,172.0,55,5.0
668,149.0,52,1.0
669,172.0,55,3.0
670,188.0,55,3.0
671,172.0,55,7.0
672,172.0,55,3.0
673,172.0,55,4.0
674,149.0,57,1.0
675,172.0,55,10.0
676,172.0,55,4.0
677,149.0,22,27.0
678,172.0,55,2.0
679,172.0,55,2.0
680,172.0,55,7.0
681,172.0,55,1.0
682,172.0,55,5.0
683,199.0,46,2.0
684,172.0,55,2.0
685,199.0,12,1.0
686,1500.0,12,23.0
687,600.0,22,128.0
688,272.0,55,117.0
689,136.0,55,3.0
690,199.0,22,5.0
691,188.0,55,2.0
692,188.0,55,1.0
693,188.0,55,3.0
694,188.0,55,2.0
695,199.0,22,9.0
696,189.0,12,1.0
697,149.0,15,1.0
698,272.0,55,22.0
699,199.0,31,1.0
700,199.0,22,58.0
701,272.0,12,3.0
702,199.0,12,1.0
703,199.0,12,1.0
704,188.0,55,1.0
705,219.0,42,1.0
706,149.0,46,1.0
707,136.0,55,8.0
708,199.0,3,1.0
709,188.0,55,1.0
710,189.0,12,1.0
711,188.0,55,2.0
712,179.0,46,1.0
713,172.0,55,4.0
714,188.0,55,1.0
715,149.0,25,2.0
716,149.0,57,31.0
717,149.0,22,6.0
718,172.0,55,47.0
719,219.0,22,2.0
720,189.0,42,1.0
721,188.0,55,1.0
722,188.0,55,2.0
723,188.0,55,2.0
724,188.0,55,3.0
725,188.0,55,1.0
726,188.0,55,4.0
727,188.0,55,4.0
728,188.0,55,2.0
729,229.0,12,1.0
730,229.0,12,1.0
731,188.0,55,6.0
732,229.0,12,1.0
733,188.0,55,3.0
734,216.0,12,1.0
735,188.0,55,4.0
736,229.0,12,1.0
737,229.0,12,1.0
738,216.0,12,1.0
739,229.0,12,1.0
740,229.0,12,2.0
741,216.0,12,1.0
742,216.0,55,3.0
743,188.0,55,1.0
744,229.0,12,1.0
745,188.0,55,3.0
746,229.0,12,1.0
747,229.0,12,1.0
748,188.0,55,5.0
749,216.0,12,1.0
750,229.0,12,1.0
751,188.0,55,4.0
752,188.0,55,7.0
753,188.0,55,2.0
754,172.0,55,1.0
755,188.0,55,9.0
756,188.0,55,30.0
757,188.0,55,4.0
758,219.0,6,1.0
759,199.0,46,1.0
760,188.0,55,1.0
761,199.0,54,1.0
763,188.0,55,1.0
764,188.0,55,2.0
765,136.0,55,2.0
766,188.0,55,3.0
767,136.0,55,1.0
768,136.0,55,4.0
769,188.0,55,3.0
770,172.0,55,6.0
771,199.0,12,1.0
772,172.0,55,3.0
773,172.0,55,6.0
774,188.0,55,2.0
775,188.0,55,7.0
776,172.0,55,3.0
777,199.0,12,1.0
778,188.0,55,2.0
779,188.0,55,2.0
780,136.0,55,6.0
781,136.0,55,5.0
782,188.0,55,1.0
783,149.0,41,1.0
784,249.0,22,142.0
785,349.0,22,103.0
786,359.0,22,175.0
787,420.0,22,97.0
788,299.0,12,3.0
789,6480.0,12,1.0
790,299.0,22,71.0
791,600.0,22,199.0
792,979.0,12,94.0
793,3300.0,12,4.0
794,3300.0,12,10.0
795,3300.0,12,33.0
796,8500.0,45,1.0
797,250.0,55,211.0
798,150.0,55,245.0
799,25.0,55,70.0
800,150.0,55,57.0
801,150.0,55,39.0
802,250.0,22,49.0
803,100.0,55,256.0
804,240.0,22,95.0
805,100.0,55,699.0
806,249.0,22,346.0
807,66.0,1,1.0
808,199.0,31,1.0
809,188.0,55,17.0
810,199.0,22,9.0
811,199.0,22,6.0
812,99.0,35,1.0
813,199.0,22,1.0
814,199.0,22,5.0
815,100.0,55,3.0
816,99.0,57,3.0
817,99.0,35,1.0
818,149.0,22,2.0
819,149.0,41,2.0
820,99.0,22,1.0
821,136.0,55,8.0
822,99.0,6,2.0
823,199.0,22,4.0
824,249.0,6,1.0
825,299.0,57,15.0
826,299.0,22,2.0
827,370.0,55,11.0
828,149.0,15,1.0
829,3300.0,12,39.0
830,5000.0,22,2.0
831,4600.0,12,27.0
832,299.0,22,101.0
833,150.0,55,183.0
834,240.0,12,2.0
835,4600.0,12,65.0
836,9800.0,12,4.0
837,4600.0,22,8.0
838,25.0,55,139.0
839,3300.0,22,274.0
840,690.0,4,1.0
841,690.0,55,3.0
842,5000.0,55,14.0
843,188.0,55,11.0
844,188.0,55,9.0
845,188.0,55,2.0
846,188.0,55,5.0
847,188.0,55,15.0
848,188.0,55,9.0
849,188.0,55,31.0
850,216.0,31,1.0
851,188.0,55,10.0
852,216.0,55,5.0
853,188.0,55,14.0
854,28.0,21,1.0
855,216.0,21,1.0
856,216.0,55,6.0
857,216.0,21,1.0
858,216.0,55,7.0
859,188.0,55,11.0
860,216.0,21,1.0
861,28.0,22,1.0
862,188.0,55,19.0
863,216.0,55,1.0
864,188.0,55,14.0
865,188.0,55,4.0
866,249.0,12,1.0
867,228.0,55,33.0
868,228.0,55,48.0
869,228.0,55,31.0
870,249.0,42,1.0
871,188.0,55,21.0
872,219.0,12,2.0
873,229.0,12,1.0
874,228.0,55,13.0
875,229.0,12,2.0
876,188.0,55,1.0
877,188.0,55,22.0
878,216.0,12,1.0
879,188.0,55,9.0
880,188.0,55,3.0
881,216.0,12,1.0
882,188.0,55,10.0
883,216.0,12,2.0
884,219.0,12,1.0
885,188.0,55,19.0
886,249.0,12,1.0
887,149.0,53,2.0
888,179.0,37,2.0
889,188.0,55,18.0
890,188.0,55,25.0
891,188.0,55,21.0
893,219.0,25,1.0
894,188.0,55,15.0
895,320.0,12,1.0
896,188.0,55,19.0
897,188.0,55,21.0
898,219.0,12,1.0
899,188.0,55,10.0
901,249.0,42,1.0
902,219.0,12,2.0
903,188.0,55,17.0
904,188.0,55,19.0
905,148.0,22,3.0
906,188.0,55,9.0
908,188.0,55,16.0
909,216.0,55,3.0
910,188.0,55,7.0
911,188.0,55,15.0
912,188.0,55,23.0
913,188.0,55,9.0
914,188.0,55,7.0
915,188.0,55,12.0
916,188.0,55,39.0
917,188.0,55,38.0
918,228.0,55,23.0
919,228.0,57,1.0
920,28.0,22,1.0
921,188.0,55,21.0
922,228.0,57,1.0
923,219.0,12,1.0
924,188.0,55,10.0
925,216.0,55,1.0
926,6000.0,55,2.0
927,3300.0,55,8.0
928,7000.0,55,1.0
929,2200.0,22,1.0
930,800.0,25,1.0
931,216.0,55,1.0
932,216.0,55,1.0
933,349.0,25,5.0
934,399.0,31,79.0
935,799.0,42,24.0
936,149.0,57,9.0
937,399.0,41,2.0
938,399.0,19,1.0
939,399.0,19,1.0
940,399.0,19,1.0
941,58.0,54,3.0
942,27.0,51,1.0
943,127.0,55,5.0
944,549.0,25,43.0
945,149.0,57,6.0
946,98.0,16,2.0
947,149.0,54,6.0
948,2599.0,28,24.0
949,2599.0,28,37.0
950,2599.0,31,35.0
951,2599.0,31,18.0
952,499.0,25,9.0
953,149.0,54,10.0
954,349.0,54,2.0
955,399.0,29,1.0
956,149.0,25,11.0
957,399.0,54,37.0
958,549.0,25,10.0
959,149.0,57,8.0
960,399.0,54,28.0
961,549.0,31,14.0
962,169.0,57,11.0
963,99.0,30,17.0
964,149.0,28,13.0
965,299.0,25,31.0
966,27.0,13,1.0
967,299.0,54,6.0
968,399.0,31,61.0
969,549.0,54,24.0
970,349.0,25,50.0
971,349.0,25,48.0
972,349.0,25,181.0
973,1049.0,25,4.0
974,899.0,54,8.0
975,349.0,25,57.0
976,2299.0,25,8.0
977,149.0,31,15.0
978,999.0,15,10.0
979,999.0,42,12.0
980,1499.0,42,12.0
981,999.0,54,20.0
982,749.0,28,27.0
983,169.0,57,10.0
984,399.0,31,54.0
985,149.0,31,7.0
986,249.0,31,1.0
987,169.0,28,21.0
988,499.0,21,8.0
989,99.0,54,24.0
990,99.0,54,19.0
991,99.0,54,32.0
992,99.0,25,29.0
993,99.0,25,31.0
994,99.0,54,12.0
995,99.0,25,16.0
996,99.0,54,25.0
997,99.0,25,9.0
998,99.0,25,28.0
999,99.0,54,31.0
1000,99.0,54,28.0
1001,99.0,25,28.0
1002,99.0,54,27.0
1003,99.0,25,24.0
1004,99.0,54,35.0
1005,99.0,54,34.0
1006,399.0,25,14.0
1007,1199.0,25,139.0
1008,299.0,25,19.0
1009,299.0,31,12.0
1010,499.0,25,56.0
1011,299.0,25,6.0
1012,299.0,57,11.0
1013,299.0,7,14.0
1014,299.0,54,16.0
1015,449.0,25,116.0
1016,299.0,31,43.0
1017,349.0,31,70.0
1018,299.0,31,31.0
1019,299.0,25,23.0
1020,299.0,25,16.0
1021,449.0,31,45.0
1022,299.0,31,23.0
1023,299.0,25,65.0
1024,599.0,25,12.0
1025,499.0,31,38.0
1026,299.0,25,42.0
1027,99.0,38,5.0
1028,349.0,25,47.0
1029,299.0,6,2.0
1030,299.0,31,54.0
1031,99.0,25,10.0
1032,299.0,25,15.0
1033,299.0,54,18.0
1034,299.0,54,7.0
1035,299.0,31,61.0
1036,99.0,16,7.0
1037,3500.0,22,23.0
1038,999.0,25,2.0
1039,899.0,25,9.0
1040,999.0,25,2.0
1041,899.0,25,9.0
1042,899.0,25,4.0
1043,999.0,25,2.0
1044,999.0,15,3.0
1045,549.0,25,10.0
1046,1499.0,57,5.0
1047,649.0,25,6.0
1048,649.0,25,10.0
1049,649.0,25,4.0
1050,299.0,54,6.0
1051,649.0,26,3.0
1052,649.0,31,6.0
1053,649.0,54,8.0
1054,649.0,25,9.0
1055,299.0,54,8.0
1056,299.0,54,9.0
1057,599.0,54,6.0
1058,299.0,42,7.0
1059,649.0,54,6.0
1060,649.0,25,8.0
1061,599.0,31,21.0
1062,599.0,25,12.0
1063,599.0,25,18.0
1064,28.0,52,1.0
1065,199.0,4,9.0
1066,248.0,23,1.0
1067,449.0,23,14.0
1068,299.0,16,1.0
1069,249.0,42,2.0
1070,248.0,25,2.0
1071,549.0,25,4.0
1072,149.0,31,11.0
1073,399.0,28,32.0
1074,999.0,28,4.0
1075,399.0,31,152.0
1076,999.0,31,31.0
1077,699.0,31,37.0
1078,349.0,25,6.0
1079,1649.0,25,4.0
1080,1649.0,6,1.0
1081,1979.0,25,9.0
1082,1979.0,25,10.0
1083,1979.0,25,4.0
1084,1979.0,28,1.0
1085,1979.0,26,1.0
1086,28.0,54,1.0
1087,349.0,47,10.0
1088,28.0,54,1.0
1089,249.0,31,9.0
1090,499.0,28,8.0
1091,199.0,31,3.0
1092,149.0,28,3.0
1093,28.0,16,1.0
1094,399.0,42,10.0
1095,299.0,54,12.0
1096,298.0,41,1.0
1097,149.0,25,7.0
1098,149.0,54,2.0
1099,399.0,31,31.0
1100,125.0,55,52.0
1101,299.0,31,31.0
1102,299.0,25,64.0
1103,249.0,31,6.0
1104,229.0,25,12.0
1105,199.0,54,10.0
1106,58.0,30,1.0
1107,149.0,25,2.0
1108,399.0,31,25.0
1109,149.0,54,10.0
1110,149.0,25,8.0
1111,148.0,31,2.0
1112,499.0,31,9.0
1113,149.0,25,7.0
1114,299.0,25,50.0
1115,28.0,28,1.0
1116,399.0,31,8.0
1117,127.0,55,2.0
1118,149.0,31,7.0
1119,399.0,31,13.0
1120,949.0,18,2.0
1121,349.0,25,21.0
1122,299.0,54,9.0
1123,349.0,31,5.0
1124,349.0,28,3.0
1125,299.0,31,3.0
1126,299.0,31,24.0
1127,349.0,54,2.0
1128,1549.0,25,14.0
1129,849.0,25,1.0
1130,899.0,25,2.0
1131,449.0,31,48.0
1132,349.0,25,10.0
1133,2299.0,25,14.0
1134,1399.0,6,2.0
1135,349.0,57,3.0
1136,349.0,16,1.0
1137,299.0,31,4.0
1138,599.0,25,2.0
1139,198.0,25,1.0
1140,349.0,31,2.0
1141,299.0,54,1.0
1142,2499.0,54,13.0
1143,399.0,31,31.0
1144,399.0,25,16.0
1145,9949.0,25,3.0
1146,229.0,54,1.0
1147,899.0,18,1.0
1148,899.0,57,1.0
1149,1590.0,55,11.0
1150,1590.0,55,1.0
1151,1790.0,24,25.0
1152,4290.0,55,2.0
1153,4790.0,24,12.0
1154,1990.0,55,1.0
1155,5990.0,24,27.0
1156,2390.0,55,6.0
1157,5390.0,55,7.0
1158,3330.0,15,1.0
1159,3290.0,55,1.0
1160,1600.0,55,4.0
1161,990.0,23,1.0
